Saison,Date,Resultat,Joueur,Salaire,Minutes,Salaireparminute
2021-2022,2021-08-22,Nul,Álvaro Morata,"30,000",59,"19,667"
2021-2022,2021-08-22,Nul,Cristiano Ronaldo,"49,500",31,"17,050"
2021-2022,2021-08-22,Nul,Paulo Dybala,"40,000",90,"40,000"
2021-2022,2021-08-22,Nul,Federico Bernardeschi,"15,000",59,"9,833"
2021-2022,2021-08-22,Nul,Dejan Kulusevski,"38,500",31,"13,261"
2021-2022,2021-08-22,Nul,Juan Cuadrado,"10,000",73,"8,111"
2021-2022,2021-08-22,Nul,Federico Chiesa,"70,000",17,"13,222"
2021-2022,2021-08-22,Nul,Aaron Ramsey,"11,000",59,"7,211"
2021-2022,2021-08-22,Nul,Giorgio Chiellini,"1,500",31,"0,517"
2021-2022,2021-08-22,Nul,Rodrigo Bentancur,"33,000",89,"32,633"
2021-2022,2021-08-22,Nul,Manuel Locatelli,"35,000",1,"0,389"
2021-2022,2021-08-22,Nul,Alex Sandro,"9,000",90,"9,000"
2021-2022,2021-08-22,Nul,Leonardo Bonucci,"8,000",90,"8,000"
2021-2022,2021-08-22,Nul,Matthijs de Ligt,"70,000",90,"70,000"
2021-2022,2021-08-22,Nul,Danilo,"15,000",90,"15,000"
2021-2022,2021-08-22,Nul,Wojciech Szczesny,"15,000",90,"15,000"
2021-2022,2021-08-28,Défaite,Federico Chiesa,"70,000",65,"50,556"
2021-2022,2021-08-28,Défaite,Dejan Kulusevski,"38,500",25,"10,694"
2021-2022,2021-08-28,Défaite,Paulo Dybala,"40,000",90,"40,000"
2021-2022,2021-08-28,Défaite,Weston McKennie,"25,000",45,"12,500"
2021-2022,2021-08-28,Défaite,Álvaro Morata,"30,000",45,"15,000"
2021-2022,2021-08-28,Défaite,Adrien Rabiot,"18,000",54,"10,800"
2021-2022,2021-08-28,Défaite,Federico Bernardeschi,"15,000",36,"6,000"
2021-2022,2021-08-28,Défaite,Rodrigo Bentancur,"33,000",65,"23,833"
2021-2022,2021-08-28,Défaite,Manuel Locatelli,"35,000",25,"9,722"
2021-2022,2021-08-28,Défaite,Danilo,"15,000",90,"15,000"
2021-2022,2021-08-28,Défaite,Alex Sandro,"9,000",90,"9,000"
2021-2022,2021-08-28,Défaite,Leonardo Bonucci,"8,000",90,"8,000"
2021-2022,2021-08-28,Défaite,Matthijs de Ligt,"70,000",90,"70,000"
2021-2022,2021-08-28,Défaite,Juan Cuadrado,"10,000",81,"9,000"
2021-2022,2021-08-28,Défaite,Mattia De Sciglio,"6,000",9,"0,600"
2021-2022,2021-08-28,Défaite,Wojciech Szczesny,"15,000",90,"15,000"
2021-2022,2021-09-11,Défaite,Álvaro Morata,"30,000",81,"27,000"
2021-2022,2021-09-11,Défaite,Moise Kean,"28,000",9,"2,800"
2021-2022,2021-09-11,Défaite,Dejan Kulusevski,"38,500",90,"38,500"
2021-2022,2021-09-11,Défaite,Federico Bernardeschi,"15,000",90,"15,000"
2021-2022,2021-09-11,Défaite,Adrien Rabiot,"18,000",90,"18,000"
2021-2022,2021-09-11,Défaite,Weston McKennie,"25,000",71,"19,722"
2021-2022,2021-09-11,Défaite,Aaron Ramsey,"11,000",19,"2,322"
2021-2022,2021-09-11,Défaite,Manuel Locatelli,"35,000",90,"35,000"
2021-2022,2021-09-11,Défaite,Luca Pellegrini,"8,000",57,"5,067"
2021-2022,2021-09-11,Défaite,Matthijs de Ligt,"70,000",33,"25,667"
2021-2022,2021-09-11,Défaite,Giorgio Chiellini,"1,500",90,"1,500"
2021-2022,2021-09-11,Défaite,Leonardo Bonucci,"8,000",90,"8,000"
2021-2022,2021-09-11,Défaite,Mattia De Sciglio,"6,000",90,"6,000"
2021-2022,2021-09-11,Défaite,Wojciech Szczesny,"15,000",90,"15,000"
2021-2022,2021-09-19,Nul,Álvaro Morata,"30,000",81,"27,000"
2021-2022,2021-09-19,Nul,Moise Kean,"28,000",9,"2,800"
2021-2022,2021-09-19,Nul,Dejan Kulusevski,"38,500",90,"38,500"
2021-2022,2021-09-19,Nul,Federico Bernardeschi,"15,000",90,"15,000"
2021-2022,2021-09-19,Nul,Adrien Rabiot,"18,000",90,"18,000"
2021-2022,2021-09-19,Nul,Weston McKennie,"25,000",71,"19,722"
2021-2022,2021-09-19,Nul,Aaron Ramsey,"11,000",19,"2,322"
2021-2022,2021-09-19,Nul,Manuel Locatelli,"35,000",90,"35,000"
2021-2022,2021-09-19,Nul,Luca Pellegrini,"8,000",57,"5,067"
2021-2022,2021-09-19,Nul,Matthijs de Ligt,"70,000",33,"25,667"
2021-2022,2021-09-19,Nul,Giorgio Chiellini,"1,500",90,"1,500"
2021-2022,2021-09-19,Nul,Leonardo Bonucci,"8,000",90,"8,000"
2021-2022,2021-09-19,Nul,Mattia De Sciglio,"6,000",90,"6,000"
2021-2022,2021-09-19,Nul,Wojciech Szczesny,"15,000",90,"15,000"
2021-2022,2021-09-19,Nul,Álvaro Morata,"30,000",65,"21,667"
2021-2022,2021-09-19,Nul,Moise Kean,"28,000",25,"7,778"
2021-2022,2021-09-19,Nul,Paulo Dybala,"40,000",78,"34,667"
2021-2022,2021-09-19,Nul,Dejan Kulusevski,"38,500",12,"5,133"
2021-2022,2021-09-19,Nul,Adrien Rabiot,"18,000",90,"18,000"
2021-2022,2021-09-19,Nul,Juan Cuadrado,"10,000",71,"7,889"
2021-2022,2021-09-19,Nul,Federico Chiesa,"70,000",19,"14,778"
2021-2022,2021-09-19,Nul,Manuel Locatelli,"35,000",90,"35,000"
2021-2022,2021-09-19,Nul,Rodrigo Bentancur,"33,000",90,"33,000"
2021-2022,2021-09-19,Nul,Alex Sandro,"9,000",90,"9,000"
2021-2022,2021-09-19,Nul,Giorgio Chiellini,"1,500",90,"1,500"
2021-2022,2021-09-19,Nul,Leonardo Bonucci,"8,000",90,"8,000"
2021-2022,2021-09-19,Nul,Danilo,"15,000",90,"15,000"
2021-2022,2021-09-19,Nul,Wojciech Szczesny,"15,000",90,"15,000"
2021-2022,2021-09-22,Victoire,Moise Kean,"28,000",58,"18,044"
2021-2022,2021-09-22,Victoire,Álvaro Morata,"30,000",32,"10,667"
2021-2022,2021-09-22,Victoire,Paulo Dybala,"40,000",90,"40,000"
2021-2022,2021-09-22,Victoire,Adrien Rabiot,"18,000",66,"13,200"
2021-2022,2021-09-22,Victoire,Federico Bernardeschi,"15,000",24,"4,000"
2021-2022,2021-09-22,Victoire,Federico Chiesa,"70,000",83,"64,556"
2021-2022,2021-09-22,Victoire,Dejan Kulusevski,"38,500",7,"2,994"
2021-2022,2021-09-22,Victoire,Rodrigo Bentancur,"33,000",45,"16,500"
