Numero_Match;Saison;Date;Resultat;Joueur;Masse_Salariale;Minutes;Salaire_Par_Minute
1;2021-2022;2021-08-22;Nul;�lvaro Morata;30;59;19,667
1;2021-2022;2021-08-22;Nul;Cristiano Ronaldo;49.5;31;17.05
1;2021-2022;2021-08-22;Nul;Paulo Dybala;40;90;40
1;2021-2022;2021-08-22;Nul;Federico Bernardeschi;15;59;9.833
1;2021-2022;2021-08-22;Nul;Dejan Kulusevski;38.5;31;13.261
1;2021-2022;2021-08-22;Nul;Juan Cuadrado;10;73;8.111
1;2021-2022;2021-08-22;Nul;Federico Chiesa;70;17;13.222
1;2021-2022;2021-08-22;Nul;Aaron Ramsey;11;59;7.211
1;2021-2022;2021-08-22;Nul;Giorgio Chiellini;1.5;31;0.517
1;2021-2022;2021-08-22;Nul;Rodrigo Bentancur;33;89;32.633
1;2021-2022;2021-08-22;Nul;Manuel Locatelli;35;1;0.389
1;2021-2022;2021-08-22;Nul;Alex Sandro;9;90;9
1;2021-2022;2021-08-22;Nul;Leonardo Bonucci;8;90;8
1;2021-2022;2021-08-22;Nul;Matthijs de Ligt;70;90;70
1;2021-2022;2021-08-22;Nul;Danilo;15;90;15
1;2021-2022;2021-08-22;Nul;Wojciech Szczesny;15;90;15
2;2021-2022;2021-08-28;Défaite;Federico Chiesa;70;65;50.556
2;2021-2022;2021-08-28;Défaite;Dejan Kulusevski;38.5;25;10.694
2;2021-2022;2021-08-28;Défaite;Paulo Dybala;40;90;40
2;2021-2022;2021-08-28;Défaite;Weston McKennie;25;45;12.5
2;2021-2022;2021-08-28;Défaite;�lvaro Morata;30;45;15
2;2021-2022;2021-08-28;Défaite;Adrien Rabiot;18;54;10.8
2;2021-2022;2021-08-28;Défaite;Federico Bernardeschi;15;36;6
2;2021-2022;2021-08-28;Défaite;Rodrigo Bentancur;33;65;23.833
2;2021-2022;2021-08-28;Défaite;Manuel Locatelli;35;25;9.722
2;2021-2022;2021-08-28;Défaite;Danilo;15;90;15
2;2021-2022;2021-08-28;Défaite;Alex Sandro;9;90;9
2;2021-2022;2021-08-28;Défaite;Leonardo Bonucci;8;90;8
2;2021-2022;2021-08-28;Défaite;Matthijs de Ligt;70;90;70
2;2021-2022;2021-08-28;Défaite;Juan Cuadrado;10;81;9
2;2021-2022;2021-08-28;Défaite;Mattia De Sciglio;6;9;0.6
2;2021-2022;2021-08-28;Défaite;Wojciech Szczesny;15;90;15
3;2021-2022;2021-09-11;Défaite;�lvaro Morata;30;81;27
3;2021-2022;2021-09-11;Défaite;Moise Kean;28;9;2.8
3;2021-2022;2021-09-11;Défaite;Dejan Kulusevski;38.5;90;38.5
3;2021-2022;2021-09-11;Défaite;Federico Bernardeschi;15;90;15
3;2021-2022;2021-09-11;Défaite;Adrien Rabiot;18;90;18
3;2021-2022;2021-09-11;Défaite;Weston McKennie;25;71;19.722
