Numero_Match,Saison,Date,Resultat,Masse_Salariale
1,2020-2021,2021-09-20,Victoire,230.033
2,2020-2021,2021-09-26,Nul,253.900
3,2020-2021,2020-10-17,Nul,257.500
4,2020-2021,2020-10-25,Nul,298.204
5,2020-2021,2020-11-01,Victoire,319.322
6,2020-2021,2020-11-08,Nul,292,333
7,2020-2021,2020-11-21,Victoire,355.778
8,2020-2021,2020-11-28,Nul,372,767
9,2020-2021,2020-12-05,Victoire,392.678
10,2020-2021,2020-12-13,Victoire,387.811
11,2020-2021,2020-12-16,Nul,380,167
12,2020-2021,2020-12-19,Victoire,327.089
13,2020-2021,2020-12-22,Défaite,345.339
14,2020-2021,2021-01-03,Victoire,375.611
15,2020-2021,2021-01-06,Victoire,353.044
16,2020-2021,2021-01-10,Victoire,321.089
17,2020-2021,2021-01-17,Défaite,298.283
18,2020-2021,2021-01-24,Victoire,282.344
19,2020-2021,2021-01-30,Victoire,309.856
20,2020-2021,2021-02-06,Victoire,315.956
21,2020-2021,2021-02-13,Défaite,373.667
22,2020-2021,2021-02-21,Victoire,351.820
23,2020-2021,2021-02-27,Défaite,386.490
24,2020-2021,2021-03-02,Victoire,330.296
25,2020-2021,2021-03-06,Victoire,315.525
26,2020-2021,2021-03-14,Victoire,368.206
27,2020-2021,2021-03-21,Défaite,401.000
28,2020-2021,2021-04-03,Nul,376.056
29,2020-2021,2021-04-07,Victoire,349.478
30,2020-2021,2021-04-011,Victoire,387.144
31,2020-2021,2021-04-18,Défaite,367.611
32,2020-2021,2021-04-21,Victoire,335.011
33,2020-2021,2021-04-25,Nul,335.689
34,2020-2021,2021-05-02,Victoire,340.800
35,2020-2021,2021-05-09,Défaite,377.500
36,2020-2021,2021-05-12,Victoire,379.722
37,2020-2021,2021-05-15,Victoire,340.533
38,2020-2021,2021-05-23,Victoire,342.719
