Numero_Match,Saison,Date,Resultat,Masse_Salariale
1,2021-2022,2021-08-22,Nul,278.894
2,2021-2022,2021-08-28,Défaite,305.706
3,2021-2022,2021-09-11,Défaite,219.578
4,2021-2022,2021-09-19,Nul,219.578
5,2021-2022,2021-09-22,Victoire,327.961
6,2021-2022,2021-09-26,Victoire,304.917
7,2021-2022,2021-10-02,Victoire,294.039
8,2021-2022,2021-10-17,Victoire,230.933
9,2021-2022,2021-10-24,Nul,231.700
10,2021-2022,2021-10-27,Défaite,314.417
11,2021-2022,2021-10-30,Défaite,208.544
12,2021-2022,2021-11-06,Victoire,317.189
13,2021-2022,2021-11-20,Victoire,323.422
14,2021-2022,2021-11-27,Défaite,302.067
15,2021-2022,2021-11-30,Victoire,295.078
16,2021-2022,2021-12-05,Victoire,295.678
17,2021-2022,2021-12-11,Nul,233.300
18,2021-2022,2021-12-18,Victoire,255.111
19,2021-2022,2021-12-21,Victoire,262.572
20,2021-2022,2022-01-06,Nul,307.667
21,2021-2022,2022-01-09,Victoire,299.800
22,2021-2022,2022-01-15,Victoire,285.094
23,2021-2022,2022-01-23,Nul,204.550
24,2021-2022,2022-02-06,Victoire,322.167
25,2021-2022,2022-02-13,Nul,346.167
26,2021-2022,2022-02-18,Nul,326.233
27,2021-2022,2022-02-26,Victoire,309.533
28,2021-2022,2022-03-06,Victoire,307.878
29,2021-2022,2022-03-12,Victoire,267.233
